week,pdd_close,jd_close,pdd_return,jd_return,pdd_weight,jd_weight,long_pdd_short_jd_return,long_pdd_short_jd_wealth
2026-01-23,106.38,29.84,-0.003559385537654669,0.03252595155709348,0.5,-0.5,-0.018042668547374074,131.63217056178482
2026-01-30,101.05,28.48,-0.050103402895281035,-0.04557640750670244,0.5,-0.5,-0.002263497694289296,131.33422144722394
2026-02-06,105.23,28.07,0.04136566056407731,-0.014396067415730296,0.5,-0.5,0.027880863989903804,134.99593301261388
2026-02-13,100.28,27.14,-0.04703981754252595,-0.033131457071606696,0.5,-0.5,-0.006954180235459628,134.05714696339012
2026-02-20,104.94,27.41,0.046469884323893096,0.009948415622697215,0.5,-0.5,0.01826073435059794,136.50512891188765
2026-02-27,103.73,26.53,-0.011530398322851076,-0.03210507114191896,0.5,-0.5,0.010287336409533943,137.90940309463102
2026-03-06,101.97,27.03,-0.016967126193001114,0.01884658876743317,0.5,-0.5,-0.017906857480217142,135.43987906823364
2026-03-13,102.65,28.32,0.006668628027851398,0.04772475027746936,0.5,-0.5,-0.020528061124808983,132.65956095198422
2026-03-20,96.19,27.27,-0.06293229420360458,-0.037076271186440746,0.5,-0.5,-0.012928011508581916,130.94453662127356
2026-03-27,99.81,28.7,0.037633849672523256,0.05243857719105249,0.5,-0.5,-0.0074023637592646185,129.97523752891453
2026-04-03,100.87,28.46,0.010620178338843766,-0.00836236933797907,0.5,-0.5,0.009491273838411418,131.20886810051402
2026-04-10,100.17,28.93,-0.006939625260235949,0.016514406184118036,0.5,-0.5,-0.011727015722176992,129.67017964141024
2026-04-17,104.79,31.6,0.04612159329140475,0.09229173867957141,0.5,-0.5,-0.02308507269408333,126.67673411813345
2026-04-24,98.03,30.27,-0.06450997232560363,-0.04208860759493671,0.5,-0.5,-0.011210682365333458,125.25660148885724
2026-05-01,99.72,29.96,0.017239620524329258,-0.010241162867525522,0.5,-0.5,0.01374039169592739,126.97767625581481
2026-05-08,98.78,30.13,-0.00942639390292821,0.0056742323097462855,0.5,-0.5,-0.0075503131063372475,126.01895504256831
2026-05-15,95.83,32.01,-0.02986434500911117,0.06239628277464315,0.5,-0.5,-0.04613031389187716,120.20566109012827
2026-05-22,94.52,30.52,-0.013670040697067787,-0.046547953764448535,0.5,-0.5,0.016438956533690374,122.18171672789242
2026-05-29,84.44,28.83,-0.10664409648751583,-0.055373525557011805,0.5,-0.5,-0.02563528546525201,119.04955354093836
2026-06-05,85.07,28.88,0.007460918995736643,0.001734304543878018,0.5,-0.5,0.0028633072259293124,119.39042898783576
2026-06-12,81.56,28.56,-0.04126013870929812,-0.011080332409972304,0.5,-0.5,-0.015089903149662909,117.5888389774126
2026-06-19,79.56,27.57,-0.02452182442373707,-0.034663865546218475,0.5,-0.5,0.005071020561240702,118.18513439763949
2026-06-26,76.55,25.39,-0.0378330819507291,-0.0790714544795067,0.5,-0.5,0.0206191862643888,120.62201569746624
